HSN,Fahrzeughersteller,TSN,Fahrzeugklasse,Handelsname,Kraftstoffcode,Leistung,Emissionscode,Co2_kombiniert,Co2_gewichtet,Co2_kombiniert2,Co2_gewichtet2,Verbrauch_kombiniert,Verbrauch_gewichtet,Verbrauch_kombiniert2,Verbrauch_gewichtet2,Fahrzeugtyp
0005,BAYER.MOT.WERKE-BMW,AAA,M1,Z Reihe,0001,195.0,0462,217.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAB,M1,Z Reihe,0001,130.0,0462,202.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAC,M1,Z Reihe,0001,160.0,0462,216.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAD,M1,Z Reihe,0001,155.0,0462,216.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAE,M1,1er Reihe,0001,105.0,35A0,154.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAF,M1,Z Reihe,0001,195.0,0462,216.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAF,M1,Z Reihe,0001,195.0,0462,207.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAF,M1,Z Reihe,0001,195.0,0462,209.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAG,M1,1er Reihe,0002,90.0,0462,150.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAH,M1,1er Reihe,0001,195.0,0462,221.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAI,M1,1er Reihe,0002,110.0,0462,176.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAJ,M1,1er Reihe,0001,110.0,0462,190.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAJ,M1,1er Reihe,0001,110.0,0462,190.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAK,M1,1er Reihe,0001,95.0,0462,188.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAK,M1,1er Reihe,0001,95.0,0462,188.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAL,M1,1er Reihe,0002,120.0,0462,176.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAL,M1,1er Reihe,0002,120.0,0462,152.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAL,M1,1er Reihe,0002,120.0,0462,176.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAM,M1,1er Reihe,0001,85.0,0462,181.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAN,M1,1er Reihe,0002,89.0,0462,150.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAN,M1,1er Reihe,0002,89.0,0462,150.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAT,M1,Z Reihe,0001,110.0,0462,181.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAT,M1,Z Reihe,0001,110.0,0462,181.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAW,M1,5er Reihe,0001,130.0,0462,230.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAW,M1,5er Reihe,0001,130.0,0462,230.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAX,M1,5er Reihe,0001,270.0,0462,276.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAX,M1,5er Reihe,0001,270.0,0462,272.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAX,M1,5er Reihe,0001,270.0,0462,267.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAY,M1,5er Reihe,0002,155.0,0462,200.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAY,M1,5er Reihe,0002,155.0,0462,170.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,AAZ,M1,5er Reihe,0001,190.0,0462,230.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABA,M1,5er Reihe,0001,160.0,0462,229.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABB,M1,5er Reihe,0002,120.0,0462,189.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABB,M1,5er Reihe,0002,120.0,0462,154.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABC,M1,5er Reihe,0001,130.0,0462,224.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABD,M1,5er Reihe,0001,160.0,0462,227.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABE,M1,5er Reihe,0002,155.0,0462,205.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABF,M1,5er Reihe,0001,225.0,0462,264.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABF,M1,5er Reihe,0001,225.0,0462,250.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABG,M1,5er Reihe,0001,270.0,0462,267.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABG,M1,5er Reihe,0001,270.0,0462,246.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABH,M1,5er Reihe,0002,170.0,0462,200.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABH,M1,5er Reihe,0002,170.0,0462,179.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABI,M1,5er Reihe,0002,120.0,0462,185.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABI,M1,5er Reihe,0002,120.0,0462,185.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABI,M1,5er Reihe,0002,120.0,0462,136.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABI,M1,5er Reihe,0002,120.0,0462,149.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABJ,M1,5er Reihe,0001,190.0,0462,224.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABK,M1,5er Reihe,0001,155.0,0462,229.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABL,M1,5er Reihe,0002,130.0,0462,211.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABM,M1,5er Reihe,0002,130.0,0462,216.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABN,M1,5er Reihe,0001,270.0,0462,281.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABO,M1,5er Reihe,0002,200.0,0462,211.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABP,M1,5er Reihe,0001,155.0,0462,227.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABQ,M1,5er Reihe,0002,110.0,0462,185.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABQ,M1,5er Reihe,0002,110.0,0462,158.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABR,M1,5er Reihe,0002,170.0,0462,205.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABR,M1,5er Reihe,0002,170.0,0462,205.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABS,M1,5er Reihe,0002,120.0,0462,211.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABS,M1,5er Reihe,0002,120.0,0462,185.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABT,M1,5er Reihe,0002,120.0,0462,216.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABU,M1,5er Reihe,0002,110.0,0462,189.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABV,M1,5er Reihe,0001,190.0,0462,240.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABW,M1,5er Reihe,0002,200.0,0462,216.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABX,M1,3er Reihe,0001,95.0,0462,195.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,PKW
0005,BAYER.MOT.WERKE-BMW,ABX,M1,3er Reihe,0001,95.0,0462,195.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,PKW
